Start programm
Time	Voltage Measurement, V	Подсчет Vout?	 Vout_min	Vout_max	№ Vout 
17.05.22 13:20:59,042	0,0003607993	OFF	3,234	3,366	0
17.05.22 13:20:59,142	0,0003506414	OFF	3,234	3,366	0
17.05.22 13:20:59,242	0,0003749136	OFF	3,234	3,366	0
17.05.22 13:20:59,342	0,000357272	OFF	3,234	3,366	0
17.05.22 13:20:59,442	0,0003746249	OFF	3,234	3,366	0
17.05.22 13:20:59,542	0,0003839674	OFF	3,234	3,366	0
17.05.22 13:20:59,642	0,0003808466	OFF	3,234	3,366	0
17.05.22 13:20:59,742	0,0003829476	OFF	3,234	3,366	0
17.05.22 13:20:59,843	0,0003674491	OFF	3,234	3,366	0
17.05.22 13:20:59,942	0,0003887776	OFF	3,234	3,366	0
17.05.22 13:21:00,042	0,0003792913	OFF	3,234	3,366	0
17.05.22 13:21:00,142	0,0003686283	OFF	3,234	3,366	0
17.05.22 13:21:00,242	0,0003809812	OFF	3,234	3,366	0
17.05.22 13:21:00,342	0,000358083	OFF	3,234	3,366	0
17.05.22 13:21:00,442	0,0003613374	OFF	3,234	3,366	0
17.05.22 13:21:00,542	0,0003792512	OFF	3,234	3,366	0
17.05.22 13:21:00,643	0,0003546941	OFF	3,234	3,366	0
17.05.22 13:21:00,742	0,0003625683	OFF	3,234	3,366	0
17.05.22 13:21:00,942	0,0003673265	OFF	3,234	3,366	0
17.05.22 13:21:01,142	0,0003626967	OFF	3,234	3,366	0
17.05.22 13:21:01,342	0,0003661597	OFF	3,234	3,366	0
17.05.22 13:21:01,543	0,0003920834	OFF	3,234	3,366	0
17.05.22 13:21:01,743	0,0003943392	OFF	3,234	3,366	0
17.05.22 13:21:01,943	0,0004001571	OFF	3,234	3,366	0
17.05.22 13:21:02,143	0,0003800683	OFF	3,234	3,366	0
17.05.22 13:21:02,343	0,0003726869	OFF	3,234	3,366	0
17.05.22 13:21:02,542	0,0003886067	OFF	3,234	3,366	0
17.05.22 13:21:02,742	0,0003728146	OFF	3,234	3,366	0
17.05.22 13:21:02,943	0,0003779661	OFF	3,234	3,366	0
17.05.22 13:21:03,143	0,0003675601	OFF	3,234	3,366	0
17.05.22 13:21:03,343	0,0003749098	OFF	3,234	3,366	0
17.05.22 13:21:03,542	0,000399799	OFF	3,234	3,366	0
17.05.22 13:21:03,742	0,000400315	OFF	3,234	3,366	0
17.05.22 13:21:03,942	0,0004074211	OFF	3,234	3,366	0
17.05.22 13:21:04,142	0,0003922393	OFF	3,234	3,366	0
17.05.22 13:21:04,342	0,0003853424	OFF	3,234	3,366	0
17.05.22 13:21:04,543	0,0003990907	OFF	3,234	3,366	0
17.05.22 13:21:04,742	0,0003825675	OFF	3,234	3,366	0
17.05.22 13:21:04,942	0,0003829717	OFF	3,234	3,366	0
17.05.22 13:21:05,142	0,0003761215	OFF	3,234	3,366	0
17.05.22 13:21:05,342	0,0003813773	OFF	3,234	3,366	0
17.05.22 13:21:05,542	0,0004083045	OFF	3,234	3,366	0
17.05.22 13:21:05,742	0,0004107493	OFF	3,234	3,366	0
17.05.22 13:21:05,942	0,0004183901	OFF	3,234	3,366	0
17.05.22 13:21:06,142	0,0004044858	OFF	3,234	3,366	0
17.05.22 13:21:06,342	0,0003969258	OFF	3,234	3,366	0
17.05.22 13:21:06,542	0,0004112893	OFF	3,234	3,366	0
17.05.22 13:21:06,742	0,0003945316	OFF	3,234	3,366	0
17.05.22 13:21:06,942	0,0003924461	OFF	3,234	3,366	0
17.05.22 13:21:07,142	0,000384591	OFF	3,234	3,366	0
17.05.22 13:21:07,342	0,0003899651	OFF	3,234	3,366	0
